Student_ID,Attendance_%,CGPA,Backlogs,ExtraCurricular_Score,Stress_Level_1_10,Study_Hours_per_Day,Family_Support_1_10,Personality_Score_1_10,Mentorship_Visits,Peer_Support_Index_1_10,Dropout
S0001,62.0,6.1,1,3.2,8.8,3.0,5.3,6.7,0,6.6,1
S0002,87.0,7.68,2,4.1,7.9,1.7,7.3,7.0,3,5.7,0
S0003,78.4,7.86,0,1.1,7.7,1.5,7.7,9.4,1,5.8,0
S0004,56.9,5.8,3,3.1,3.9,1.2,5.6,3.3,2,8.0,1
S0005,68.1,7.57,1,5.1,4.1,3.3,7.6,6.4,5,7.9,0
S0006,94.8,4.76,1,5.6,5.3,2.4,7.5,3.0,2,8.1,0
S0007,45.9,6.76,3,6.1,8.0,2.2,8.1,5.0,3,6.5,0
S0008,69.9,5.64,2,4.9,7.5,2.6,5.0,5.6,2,4.8,1
S0009,90.2,6.03,4,3.8,7.7,3.3,4.2,3.2,5,7.3,1
S0010,64.6,5.47,0,7.4,9.4,3.9,3.9,7.7,1,5.4,1
S0011,66.9,7.66,1,7.7,3.6,1.3,3.4,5.5,0,3.6,0
S0012,73.9,7.66,0,0.0,3.1,1.4,6.8,5.3,4,7.1,0
S0013,92.9,6.17,2,4.2,5.8,1.3,5.7,1.9,2,6.2,1
S0014,67.3,7.45,1,4.4,6.4,2.4,4.6,9.4,2,6.6,1
S0015,69.7,7.31,0,4.2,8.6,2.9,3.4,8.1,1,5.9,0
S0016,69.8,6.85,1,3.0,4.3,1.4,6.3,5.0,2,7.2,1
S0017,100.0,9.59,3,2.8,10.0,1.7,8.0,6.9,2,7.4,0
S0018,100.0,5.99,1,0.7,1.3,1.2,6.8,7.4,0,8.4,0
S0019,87.0,7.02,1,5.9,6.4,1.3,8.8,7.2,2,5.2,0
S0020,79.6,6.54,3,8.2,3.5,1.9,6.3,6.0,4,7.3,0
S0021,83.8,6.55,0,5.9,5.4,1.5,4.8,4.6,3,6.4,0
S0022,92.9,7.19,0,6.6,1.0,1.9,8.2,4.8,1,7.3,0
S0023,63.8,6.65,1,5.5,6.0,1.3,6.8,5.1,1,3.2,1
S0024,89.1,5.97,2,7.6,5.8,2.2,8.2,8.0,3,5.1,0
S0025,60.0,7.15,1,6.0,2.0,2.8,5.8,4.0,0,2.2,0
